code_name|code_api_url|code_html_url|repo_name|repo_owner|repo_starcount|repo_forkcount|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
parse_c_type.c|https://api.github.com/repositories/281408426/contents/desktop/core/ext-py/cffi-1.11.5/c/parse_c_type.c?ref=b4486fee3987d7e676ecd34deee0036c61145dd4|https://github.com/maru536/hue/blob/b4486fee3987d7e676ecd34deee0036c61145dd4/desktop/core/ext-py/cffi-1.11.5/c/parse_c_type.c|hue|maru536|0|1||https://api.github.com/repos/maru536/hue|https://github.com/maru536/hue|https://api.github.com/repos/maru536/hue/stargazers|https://api.github.com/repos/maru536/hue/subscribers|https://api.github.com/repos/maru536/hue/forks|https://api.github.com/repos/maru536/hue/languages
memcmp.h|https://api.github.com/repositories/35958101/contents/compat/memcmp.h?ref=1abe1c90ccaff404c3f9961c9c3599aa6dca53b0|https://github.com/LTD-Beget/nsd/blob/1abe1c90ccaff404c3f9961c9c3599aa6dca53b0/compat/memcmp.h|nsd|LTD-Beget|0|0|NSD authoritative dns server - unofficial mirror|https://api.github.com/repos/LTD-Beget/nsd|https://github.com/LTD-Beget/nsd|https://api.github.com/repos/LTD-Beget/nsd/stargazers|https://api.github.com/repos/LTD-Beget/nsd/subscribers|https://api.github.com/repos/LTD-Beget/nsd/forks|https://api.github.com/repos/LTD-Beget/nsd/languages
FastMemcmp.h|https://api.github.com/repositories/3248841/contents/BaseLib/FastMemcmp.h?ref=6c206c7a5dfe805a09feca40d1699d5d7cff963c|https://github.com/andrewpaterson/Codaphela.Library/blob/6c206c7a5dfe805a09feca40d1699d5d7cff963c/BaseLib/FastMemcmp.h|Codaphela.Library|andrewpaterson|3|1|Game Engine API|https://api.github.com/repos/andrewpaterson/Codaphela.Library|https://github.com/andrewpaterson/Codaphela.Library|https://api.github.com/repos/andrewpaterson/Codaphela.Library/stargazers|https://api.github.com/repos/andrewpaterson/Codaphela.Library/subscribers|https://api.github.com/repos/andrewpaterson/Codaphela.Library/forks|https://api.github.com/repos/andrewpaterson/Codaphela.Library/languages
ifunc-memcmp.h|https://api.github.com/repositories/346213508/contents/sysdeps/s390/ifunc-memcmp.h?ref=b2c8ec65dc7e73ef99024ac18e51c2201986a9d0|https://github.com/procinproc/PiP-glibc/blob/b2c8ec65dc7e73ef99024ac18e51c2201986a9d0/sysdeps/s390/ifunc-memcmp.h|PiP-glibc|procinproc|0|0|A patched Glibc for PiP.  By having this, PiP can create much larger number of PiP tasks and can work with PiP-gdb.|https://api.github.com/repos/procinproc/PiP-glibc|https://github.com/procinproc/PiP-glibc|https://api.github.com/repos/procinproc/PiP-glibc/stargazers|https://api.github.com/repos/procinproc/PiP-glibc/subscribers|https://api.github.com/repos/procinproc/PiP-glibc/forks|https://api.github.com/repos/procinproc/PiP-glibc/languages
ifunc-memcmp.h|https://api.github.com/repositories/323861604/contents/glibc/sysdeps/s390/ifunc-memcmp.h?ref=fd754bae2ffe5eae88ebbe0a7e7048d86a4ad1e9|https://github.com/CoreELEC-Backup/gpl-sources/blob/fd754bae2ffe5eae88ebbe0a7e7048d86a4ad1e9/glibc/sysdeps/s390/ifunc-memcmp.h|gpl-sources|CoreELEC-Backup|0|1||https://api.github.com/repos/CoreELEC-Backup/gpl-sources|https://github.com/CoreELEC-Backup/gpl-sources|https://api.github.com/repos/CoreELEC-Backup/gpl-sources/stargazers|https://api.github.com/repos/CoreELEC-Backup/gpl-sources/subscribers|https://api.github.com/repos/CoreELEC-Backup/gpl-sources/forks|https://api.github.com/repos/CoreELEC-Backup/gpl-sources/languages
memcmp.c|https://api.github.com/repositories/222419581/contents/sysdeps/s390/memcmp.c?ref=2a764c6ee848dfe92cb2921ed3b14085f15d9e79|https://github.com/zhou-/glibc/blob/2a764c6ee848dfe92cb2921ed3b14085f15d9e79/sysdeps/s390/memcmp.c|glibc|zhou-|0|0||https://api.github.com/repos/zhou-/glibc|https://github.com/zhou-/glibc|https://api.github.com/repos/zhou-/glibc/stargazers|https://api.github.com/repos/zhou-/glibc/subscribers|https://api.github.com/repos/zhou-/glibc/forks|https://api.github.com/repos/zhou-/glibc/languages
clients.c|https://api.github.com/repositories/10958379/contents/libtransmission/clients.c?ref=cad47bbf0b43e15fde4bded8a1e8a76987bee2b4|https://github.com/janaz/transmissionbt/blob/cad47bbf0b43e15fde4bded8a1e8a76987bee2b4/libtransmission/clients.c|transmissionbt|janaz|0|0|git mirror of svn://svn.transmissionbt.com/Transmission/trunk|https://api.github.com/repos/janaz/transmissionbt|https://github.com/janaz/transmissionbt|https://api.github.com/repos/janaz/transmissionbt/stargazers|https://api.github.com/repos/janaz/transmissionbt/subscribers|https://api.github.com/repos/janaz/transmissionbt/forks|https://api.github.com/repos/janaz/transmissionbt/languages
clients.c|https://api.github.com/repositories/204033667/contents/release/src/router/APP-IPK/DM-ipk/transmission-2.92/libtransmission/clients.c?ref=96a4ff1161d26e513eccc2a08628699241cbc9dd|https://github.com/MerlinRdev/ac85p-merlin/blob/96a4ff1161d26e513eccc2a08628699241cbc9dd/release/src/router/APP-IPK/DM-ipk/transmission-2.92/libtransmission/clients.c|ac85p-merlin|MerlinRdev|20|17|support softcenter and bw160|https://api.github.com/repos/MerlinRdev/ac85p-merlin|https://github.com/MerlinRdev/ac85p-merlin|https://api.github.com/repos/MerlinRdev/ac85p-merlin/stargazers|https://api.github.com/repos/MerlinRdev/ac85p-merlin/subscribers|https://api.github.com/repos/MerlinRdev/ac85p-merlin/forks|https://api.github.com/repos/MerlinRdev/ac85p-merlin/languages
memcmp-3.c|https://api.github.com/repositories/338181182/contents/gcc/testsuite/gcc.dg/memcmp-3.c?ref=46aa7ca34b832695b3f13167034f6aa19f44d074|https://github.com/mirko/gcc/blob/46aa7ca34b832695b3f13167034f6aa19f44d074/gcc/testsuite/gcc.dg/memcmp-3.c|gcc|mirko|0|0||https://api.github.com/repos/mirko/gcc|https://github.com/mirko/gcc|https://api.github.com/repos/mirko/gcc/stargazers|https://api.github.com/repos/mirko/gcc/subscribers|https://api.github.com/repos/mirko/gcc/forks|https://api.github.com/repos/mirko/gcc/languages
levelconverter.c|https://api.github.com/repositories/22796925/contents/tools/LevelConverter/levelconverter.c?ref=a41ac6ff81a659ee634f963cf9ad66d5f57eae0c|https://github.com/sprkizard/SRB2CB-2.0.4/blob/a41ac6ff81a659ee634f963cf9ad66d5f57eae0c/tools/LevelConverter/levelconverter.c|SRB2CB-2.0.4|sprkizard|0|0||https://api.github.com/repos/sprkizard/SRB2CB-2.0.4|https://github.com/sprkizard/SRB2CB-2.0.4|https://api.github.com/repos/sprkizard/SRB2CB-2.0.4/stargazers|https://api.github.com/repos/sprkizard/SRB2CB-2.0.4/subscribers|https://api.github.com/repos/sprkizard/SRB2CB-2.0.4/forks|https://api.github.com/repos/sprkizard/SRB2CB-2.0.4/languages
testsuite.h|https://api.github.com/repositories/29840462/contents/libs/mavlink/include/mavlink/v1.0/pixhawk/testsuite.h?ref=5655ec6539f83179dd77ac748234bb6b11443ef2|https://github.com/GitGround/NGControl/blob/5655ec6539f83179dd77ac748234bb6b11443ef2/libs/mavlink/include/mavlink/v1.0/pixhawk/testsuite.h|NGControl|GitGround|0|0||https://api.github.com/repos/GitGround/NGControl|https://github.com/GitGround/NGControl|https://api.github.com/repos/GitGround/NGControl/stargazers|https://api.github.com/repos/GitGround/NGControl/subscribers|https://api.github.com/repos/GitGround/NGControl/forks|https://api.github.com/repos/GitGround/NGControl/languages
memcmp.c|https://api.github.com/repositories/123687222/contents/rocket-chip/riscv-tools/riscv-gnu-toolchain/riscv-glibc/sysdeps/powerpc/powerpc64/multiarch/memcmp.c?ref=630c755d66dd6bc9043ebb6e1f75c30741094f7f|https://github.com/RaulGoal/platform/blob/630c755d66dd6bc9043ebb6e1f75c30741094f7f/rocket-chip/riscv-tools/riscv-gnu-toolchain/riscv-glibc/sysdeps/powerpc/powerpc64/multiarch/memcmp.c|platform|RaulGoal|1|0||https://api.github.com/repos/RaulGoal/platform|https://github.com/RaulGoal/platform|https://api.github.com/repos/RaulGoal/platform/stargazers|https://api.github.com/repos/RaulGoal/platform/subscribers|https://api.github.com/repos/RaulGoal/platform/forks|https://api.github.com/repos/RaulGoal/platform/languages
avx512f-typecast-1.c|https://api.github.com/repositories/123687222/contents/rocket-chip/riscv-tools/riscv-gnu-toolchain/riscv-gcc/gcc/testsuite/gcc.target/i386/avx512f-typecast-1.c?ref=630c755d66dd6bc9043ebb6e1f75c30741094f7f|https://github.com/RaulGoal/platform/blob/630c755d66dd6bc9043ebb6e1f75c30741094f7f/rocket-chip/riscv-tools/riscv-gnu-toolchain/riscv-gcc/gcc/testsuite/gcc.target/i386/avx512f-typecast-1.c|platform|RaulGoal|1|0||https://api.github.com/repos/RaulGoal/platform|https://github.com/RaulGoal/platform|https://api.github.com/repos/RaulGoal/platform/stargazers|https://api.github.com/repos/RaulGoal/platform/subscribers|https://api.github.com/repos/RaulGoal/platform/forks|https://api.github.com/repos/RaulGoal/platform/languages
