repo_name|repo_owner|repo_starcount|repo_forkcount|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
mjs|cesanta|1436|122|Embedded JavaScript engine for C/C++|https://api.github.com/repos/cesanta/mjs|https://github.com/cesanta/mjs|https://api.github.com/repos/cesanta/mjs/stargazers|https://api.github.com/repos/cesanta/mjs/subscribers|https://api.github.com/repos/cesanta/mjs/forks|https://api.github.com/repos/cesanta/mjs/languages
syslog-ng|syslog-ng|1435|371|syslog-ng is an enhanced log daemon, supporting a wide range of input and output methods: syslog, unstructured text, queueing, SQL & NoSQL.|https://api.github.com/repos/syslog-ng/syslog-ng|https://github.com/syslog-ng/syslog-ng|https://api.github.com/repos/syslog-ng/syslog-ng/stargazers|https://api.github.com/repos/syslog-ng/syslog-ng/subscribers|https://api.github.com/repos/syslog-ng/syslog-ng/forks|https://api.github.com/repos/syslog-ng/syslog-ng/languages
openssh-portable|openssh|1434|1058|Portable OpenSSH|https://api.github.com/repos/openssh/openssh-portable|https://github.com/openssh/openssh-portable|https://api.github.com/repos/openssh/openssh-portable/stargazers|https://api.github.com/repos/openssh/openssh-portable/subscribers|https://api.github.com/repos/openssh/openssh-portable/forks|https://api.github.com/repos/openssh/openssh-portable/languages
quickjs|horhof|1433|141|The official repo is at bellard/quickjs.|https://api.github.com/repos/horhof/quickjs|https://github.com/horhof/quickjs|https://api.github.com/repos/horhof/quickjs/stargazers|https://api.github.com/repos/horhof/quickjs/subscribers|https://api.github.com/repos/horhof/quickjs/forks|https://api.github.com/repos/horhof/quickjs/languages
nuklear|golang-ui|1430|93|This project provides Go bindings for nuklear.h — a small ANSI C GUI library.|https://api.github.com/repos/golang-ui/nuklear|https://github.com/golang-ui/nuklear|https://api.github.com/repos/golang-ui/nuklear/stargazers|https://api.github.com/repos/golang-ui/nuklear/subscribers|https://api.github.com/repos/golang-ui/nuklear/forks|https://api.github.com/repos/golang-ui/nuklear/languages
sod|symisc|1429|191|An Embedded Computer Vision & Machine Learning Library (CPU Optimized & IoT Capable)|https://api.github.com/repos/symisc/sod|https://github.com/symisc/sod|https://api.github.com/repos/symisc/sod/stargazers|https://api.github.com/repos/symisc/sod/subscribers|https://api.github.com/repos/symisc/sod/forks|https://api.github.com/repos/symisc/sod/languages
esp8266-oled-ssd1306|ThingPulse|1428|502|Driver for the SSD1306 and SH1106 based 128x64, 128x32, 64x48 pixel OLED display running on ESP8266/ESP32|https://api.github.com/repos/ThingPulse/esp8266-oled-ssd1306|https://github.com/ThingPulse/esp8266-oled-ssd1306|https://api.github.com/repos/ThingPulse/esp8266-oled-ssd1306/stargazers|https://api.github.com/repos/ThingPulse/esp8266-oled-ssd1306/subscribers|https://api.github.com/repos/ThingPulse/esp8266-oled-ssd1306/forks|https://api.github.com/repos/ThingPulse/esp8266-oled-ssd1306/languages
donut|TheWover|1425|303|Generates x86, x64, or AMD64+x86 position-independent shellcode that loads .NET Assemblies, PE files, and other Windows payloads from memory and runs them with parameters|https://api.github.com/repos/TheWover/donut|https://github.com/TheWover/donut|https://api.github.com/repos/TheWover/donut/stargazers|https://api.github.com/repos/TheWover/donut/subscribers|https://api.github.com/repos/TheWover/donut/forks|https://api.github.com/repos/TheWover/donut/languages
stud|bumptech|1421|206|The Scalable TLS Unwrapping Daemon|https://api.github.com/repos/bumptech/stud|https://github.com/bumptech/stud|https://api.github.com/repos/bumptech/stud/stargazers|https://api.github.com/repos/bumptech/stud/subscribers|https://api.github.com/repos/bumptech/stud/forks|https://api.github.com/repos/bumptech/stud/languages
PureDarwin|PureDarwin|1421|120|Darwin is the Open Source operating system from Apple that forms the basis for OS X, and PureDarwin is a community project to make Darwin more usable. See the Wiki for more information.|https://api.github.com/repos/PureDarwin/PureDarwin|https://github.com/PureDarwin/PureDarwin|https://api.github.com/repos/PureDarwin/PureDarwin/stargazers|https://api.github.com/repos/PureDarwin/PureDarwin/subscribers|https://api.github.com/repos/PureDarwin/PureDarwin/forks|https://api.github.com/repos/PureDarwin/PureDarwin/languages
iphone-private-frameworks|kennytm|1421|615|Headers for private frameworks or undocumented interfaces of iPhoneOS 3.x or before (4.x is not supported yet).|https://api.github.com/repos/kennytm/iphone-private-frameworks|https://github.com/kennytm/iphone-private-frameworks|https://api.github.com/repos/kennytm/iphone-private-frameworks/stargazers|https://api.github.com/repos/kennytm/iphone-private-frameworks/subscribers|https://api.github.com/repos/kennytm/iphone-private-frameworks/forks|https://api.github.com/repos/kennytm/iphone-private-frameworks/languages
pdf-tools|politza|1419|164|Emacs support library for PDF files.|https://api.github.com/repos/politza/pdf-tools|https://github.com/politza/pdf-tools|https://api.github.com/repos/politza/pdf-tools/stargazers|https://api.github.com/repos/politza/pdf-tools/subscribers|https://api.github.com/repos/politza/pdf-tools/forks|https://api.github.com/repos/politza/pdf-tools/languages
mc|MidnightCommander|1418|408|Midnight Commander's repository|https://api.github.com/repos/MidnightCommander/mc|https://github.com/MidnightCommander/mc|https://api.github.com/repos/MidnightCommander/mc/stargazers|https://api.github.com/repos/MidnightCommander/mc/subscribers|https://api.github.com/repos/MidnightCommander/mc/forks|https://api.github.com/repos/MidnightCommander/mc/languages
rpi_ws281x|jgarff|1417|514|Userspace Raspberry Pi PWM library for WS281X LEDs|https://api.github.com/repos/jgarff/rpi_ws281x|https://github.com/jgarff/rpi_ws281x|https://api.github.com/repos/jgarff/rpi_ws281x/stargazers|https://api.github.com/repos/jgarff/rpi_ws281x/subscribers|https://api.github.com/repos/jgarff/rpi_ws281x/forks|https://api.github.com/repos/jgarff/rpi_ws281x/languages
uvbook|nikhilm|1414|366|An Introduction to libuv|https://api.github.com/repos/nikhilm/uvbook|https://github.com/nikhilm/uvbook|https://api.github.com/repos/nikhilm/uvbook/stargazers|https://api.github.com/repos/nikhilm/uvbook/subscribers|https://api.github.com/repos/nikhilm/uvbook/forks|https://api.github.com/repos/nikhilm/uvbook/languages
org.quietmodem.Quiet|quiet|1412|118|Quiet for Android - TCP over sound|https://api.github.com/repos/quiet/org.quietmodem.Quiet|https://github.com/quiet/org.quietmodem.Quiet|https://api.github.com/repos/quiet/org.quietmodem.Quiet/stargazers|https://api.github.com/repos/quiet/org.quietmodem.Quiet/subscribers|https://api.github.com/repos/quiet/org.quietmodem.Quiet/forks|https://api.github.com/repos/quiet/org.quietmodem.Quiet/languages
inih|benhoyt|1412|332|Simple .INI file parser in C, good for embedded systems|https://api.github.com/repos/benhoyt/inih|https://github.com/benhoyt/inih|https://api.github.com/repos/benhoyt/inih/stargazers|https://api.github.com/repos/benhoyt/inih/subscribers|https://api.github.com/repos/benhoyt/inih/forks|https://api.github.com/repos/benhoyt/inih/languages
smartos-live|joyent|1412|250|For more information, please see http://smartos.org/  For any questions that aren't answered there, please join the SmartOS discussion list: http://smartos.org/smartos-mailing-list/|https://api.github.com/repos/joyent/smartos-live|https://github.com/joyent/smartos-live|https://api.github.com/repos/joyent/smartos-live/stargazers|https://api.github.com/repos/joyent/smartos-live/subscribers|https://api.github.com/repos/joyent/smartos-live/forks|https://api.github.com/repos/joyent/smartos-live/languages
criu|checkpoint-restore|1410|320|Checkpoint/Restore tool|https://api.github.com/repos/checkpoint-restore/criu|https://github.com/checkpoint-restore/criu|https://api.github.com/repos/checkpoint-restore/criu/stargazers|https://api.github.com/repos/checkpoint-restore/criu/subscribers|https://api.github.com/repos/checkpoint-restore/criu/forks|https://api.github.com/repos/checkpoint-restore/criu/languages
post-exploitation|mubix|1407|347|Post Exploitation Collection|https://api.github.com/repos/mubix/post-exploitation|https://github.com/mubix/post-exploitation|https://api.github.com/repos/mubix/post-exploitation/stargazers|https://api.github.com/repos/mubix/post-exploitation/subscribers|https://api.github.com/repos/mubix/post-exploitation/forks|https://api.github.com/repos/mubix/post-exploitation/languages
renderer|zauonlok|1406|145|A shader-based software renderer written from scratch in C89|https://api.github.com/repos/zauonlok/renderer|https://github.com/zauonlok/renderer|https://api.github.com/repos/zauonlok/renderer/stargazers|https://api.github.com/repos/zauonlok/renderer/subscribers|https://api.github.com/repos/zauonlok/renderer/forks|https://api.github.com/repos/zauonlok/renderer/languages
FFmpegMediaMetadataRetriever|wseemann|1406|350|FFmpegMediaMetadataRetriever provides a unified interface for retrieving frame and meta data from an input media file.|https://api.github.com/repos/wseemann/FFmpegMediaMetadataRetriever|https://github.com/wseemann/FFmpegMediaMetadataRetriever|https://api.github.com/repos/wseemann/FFmpegMediaMetadataRetriever/stargazers|https://api.github.com/repos/wseemann/FFmpegMediaMetadataRetriever/subscribers|https://api.github.com/repos/wseemann/FFmpegMediaMetadataRetriever/forks|https://api.github.com/repos/wseemann/FFmpegMediaMetadataRetriever/languages
vlfeat|vlfeat|1406|603|An open library of computer vision algorithms|https://api.github.com/repos/vlfeat/vlfeat|https://github.com/vlfeat/vlfeat|https://api.github.com/repos/vlfeat/vlfeat/stargazers|https://api.github.com/repos/vlfeat/vlfeat/subscribers|https://api.github.com/repos/vlfeat/vlfeat/forks|https://api.github.com/repos/vlfeat/vlfeat/languages
thc-tips-tricks-hacks-cheat-sheet|hackerschoice|1404|199|Various tips & tricks|https://api.github.com/repos/hackerschoice/thc-tips-tricks-hacks-cheat-sheet|https://github.com/hackerschoice/thc-tips-tricks-hacks-cheat-sheet|https://api.github.com/repos/hackerschoice/thc-tips-tricks-hacks-cheat-sheet/stargazers|https://api.github.com/repos/hackerschoice/thc-tips-tricks-hacks-cheat-sheet/subscribers|https://api.github.com/repos/hackerschoice/thc-tips-tricks-hacks-cheat-sheet/forks|https://api.github.com/repos/hackerschoice/thc-tips-tricks-hacks-cheat-sheet/languages
yajl-ruby|brianmario|1404|161|A streaming JSON parsing and encoding library for Ruby (C bindings to yajl)|https://api.github.com/repos/brianmario/yajl-ruby|https://github.com/brianmario/yajl-ruby|https://api.github.com/repos/brianmario/yajl-ruby/stargazers|https://api.github.com/repos/brianmario/yajl-ruby/subscribers|https://api.github.com/repos/brianmario/yajl-ruby/forks|https://api.github.com/repos/brianmario/yajl-ruby/languages
facil.io|boazsegev|1403|91|Your high performance web application C framework|https://api.github.com/repos/boazsegev/facil.io|https://github.com/boazsegev/facil.io|https://api.github.com/repos/boazsegev/facil.io/stargazers|https://api.github.com/repos/boazsegev/facil.io/subscribers|https://api.github.com/repos/boazsegev/facil.io/forks|https://api.github.com/repos/boazsegev/facil.io/languages
cc65|cc65|1402|283|cc65 - a freeware C compiler for 6502 based systems|https://api.github.com/repos/cc65/cc65|https://github.com/cc65/cc65|https://api.github.com/repos/cc65/cc65/stargazers|https://api.github.com/repos/cc65/cc65/subscribers|https://api.github.com/repos/cc65/cc65/forks|https://api.github.com/repos/cc65/cc65/languages
word2vec|dav|1399|606|This tool provides an efficient implementation of the continuous bag-of-words and skip-gram architectures for computing vector representations of words. These representations can be subsequently used in many natural language processing applications and for further research. |https://api.github.com/repos/dav/word2vec|https://github.com/dav/word2vec|https://api.github.com/repos/dav/word2vec/stargazers|https://api.github.com/repos/dav/word2vec/subscribers|https://api.github.com/repos/dav/word2vec/forks|https://api.github.com/repos/dav/word2vec/languages
rspamd|rspamd|1399|278|Rapid spam filtering system.|https://api.github.com/repos/rspamd/rspamd|https://github.com/rspamd/rspamd|https://api.github.com/repos/rspamd/rspamd/stargazers|https://api.github.com/repos/rspamd/rspamd/subscribers|https://api.github.com/repos/rspamd/rspamd/forks|https://api.github.com/repos/rspamd/rspamd/languages
media-server|ireader|1398|654|RTSP/RTP/RTMP/FLV/HLS/MPEG-TS/MPEG-PS/MPEG-DASH/MP4/fMP4/MKV/WebM|https://api.github.com/repos/ireader/media-server|https://github.com/ireader/media-server|https://api.github.com/repos/ireader/media-server/stargazers|https://api.github.com/repos/ireader/media-server/subscribers|https://api.github.com/repos/ireader/media-server/forks|https://api.github.com/repos/ireader/media-server/languages
QNNPACK|pytorch|1394|207|Quantized Neural Network PACKage - mobile-optimized implementation of quantized neural network operators|https://api.github.com/repos/pytorch/QNNPACK|https://github.com/pytorch/QNNPACK|https://api.github.com/repos/pytorch/QNNPACK/stargazers|https://api.github.com/repos/pytorch/QNNPACK/subscribers|https://api.github.com/repos/pytorch/QNNPACK/forks|https://api.github.com/repos/pytorch/QNNPACK/languages
rsyslog|rsyslog|1393|517|a Rocket-fast SYStem for LOG processing|https://api.github.com/repos/rsyslog/rsyslog|https://github.com/rsyslog/rsyslog|https://api.github.com/repos/rsyslog/rsyslog/stargazers|https://api.github.com/repos/rsyslog/rsyslog/subscribers|https://api.github.com/repos/rsyslog/rsyslog/forks|https://api.github.com/repos/rsyslog/rsyslog/languages
freeradius-server|FreeRADIUS|1392|847|FreeRADIUS - A multi-protocol policy server.|https://api.github.com/repos/FreeRADIUS/freeradius-server|https://github.com/FreeRADIUS/freeradius-server|https://api.github.com/repos/FreeRADIUS/freeradius-server/stargazers|https://api.github.com/repos/FreeRADIUS/freeradius-server/subscribers|https://api.github.com/repos/FreeRADIUS/freeradius-server/forks|https://api.github.com/repos/FreeRADIUS/freeradius-server/languages
