repo_name|repo_owner|#_memcmp|#_memcpy|#_strcmp|#_strcpy|#_stars|#_forks|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
odyssey|yandex|22|24|10|1|1957|81|Scalable PostgreSQL connection pooler|https://api.github.com/repos/yandex/odyssey|https://github.com/yandex/odyssey|https://api.github.com/repos/yandex/odyssey/stargazers|https://api.github.com/repos/yandex/odyssey/subscribers|https://api.github.com/repos/yandex/odyssey/forks|https://api.github.com/repos/yandex/odyssey/languages
haproxy|haproxy|38|102|88|11|1954|428|HAProxy Load Balancer's development branch (mirror of git.haproxy.org)|https://api.github.com/repos/haproxy/haproxy|https://github.com/haproxy/haproxy|https://api.github.com/repos/haproxy/haproxy/stargazers|https://api.github.com/repos/haproxy/haproxy/subscribers|https://api.github.com/repos/haproxy/haproxy/forks|https://api.github.com/repos/haproxy/haproxy/languages
ext-ds|php-ds|0|11|0|0|1951|92|An extension providing efficient data structures for PHP 7|https://api.github.com/repos/php-ds/ext-ds|https://github.com/php-ds/ext-ds|https://api.github.com/repos/php-ds/ext-ds/stargazers|https://api.github.com/repos/php-ds/ext-ds/subscribers|https://api.github.com/repos/php-ds/ext-ds/forks|https://api.github.com/repos/php-ds/ext-ds/languages
PF_RING|ntop|65|167|54|14|1948|292|High-speed packet processing framework|https://api.github.com/repos/ntop/PF_RING|https://github.com/ntop/PF_RING|https://api.github.com/repos/ntop/PF_RING/stargazers|https://api.github.com/repos/ntop/PF_RING/subscribers|https://api.github.com/repos/ntop/PF_RING/forks|https://api.github.com/repos/ntop/PF_RING/languages
acl|acl-dev|17|104|79|21|1942|834|Server framework and network components written by C/C++ for Linux, Mac, FreeBSD, Solaris(x86), Windows, Android, IOS|https://api.github.com/repos/acl-dev/acl|https://github.com/acl-dev/acl|https://api.github.com/repos/acl-dev/acl/stargazers|https://api.github.com/repos/acl-dev/acl/subscribers|https://api.github.com/repos/acl-dev/acl/forks|https://api.github.com/repos/acl-dev/acl/languages
Unity|ThrowTheSwitch|0|2|5|2|1941|579|Simple Unit Testing for C|https://api.github.com/repos/ThrowTheSwitch/Unity|https://github.com/ThrowTheSwitch/Unity|https://api.github.com/repos/ThrowTheSwitch/Unity/stargazers|https://api.github.com/repos/ThrowTheSwitch/Unity/subscribers|https://api.github.com/repos/ThrowTheSwitch/Unity/forks|https://api.github.com/repos/ThrowTheSwitch/Unity/languages
3proxy|z3APA3A|14|28|12|6|1939|371|3proxy - tiny free proxy server|https://api.github.com/repos/z3APA3A/3proxy|https://github.com/z3APA3A/3proxy|https://api.github.com/repos/z3APA3A/3proxy/stargazers|https://api.github.com/repos/z3APA3A/3proxy/subscribers|https://api.github.com/repos/z3APA3A/3proxy/forks|https://api.github.com/repos/z3APA3A/3proxy/languages
tinn|glouw|0|0|0|0|1935|175|A tiny neural network library|https://api.github.com/repos/glouw/tinn|https://github.com/glouw/tinn|https://api.github.com/repos/glouw/tinn/stargazers|https://api.github.com/repos/glouw/tinn/subscribers|https://api.github.com/repos/glouw/tinn/forks|https://api.github.com/repos/glouw/tinn/languages
yojimbo|networkprotocol|6|4|1|2|1934|192|A network library for client/server games written in C++|https://api.github.com/repos/networkprotocol/yojimbo|https://github.com/networkprotocol/yojimbo|https://api.github.com/repos/networkprotocol/yojimbo/stargazers|https://api.github.com/repos/networkprotocol/yojimbo/subscribers|https://api.github.com/repos/networkprotocol/yojimbo/forks|https://api.github.com/repos/networkprotocol/yojimbo/languages
suricata|OISF|69|86|129|2|1925|872|Suricata git repository maintained by the OISF|https://api.github.com/repos/OISF/suricata|https://github.com/OISF/suricata|https://api.github.com/repos/OISF/suricata/stargazers|https://api.github.com/repos/OISF/suricata/subscribers|https://api.github.com/repos/OISF/suricata/forks|https://api.github.com/repos/OISF/suricata/languages
sniproxy|dlundquist|1|4|7|0|1923|347|Proxies incoming HTTP and TLS connections based on the hostname contained in the initial request of the TCP session.|https://api.github.com/repos/dlundquist/sniproxy|https://github.com/dlundquist/sniproxy|https://api.github.com/repos/dlundquist/sniproxy/stargazers|https://api.github.com/repos/dlundquist/sniproxy/subscribers|https://api.github.com/repos/dlundquist/sniproxy/forks|https://api.github.com/repos/dlundquist/sniproxy/languages
